VDR       	 N. UNICRE        	  CADEIA    	 NOME                                    	                                                  
2283158	9098412	9113465	 WORTEN CANICO                           	                                                  
2283166	7654021	9113465	 WORTEN MATOSINHOS                       	                                                  
2283174	7654031	9113465	 WORTEN S J MADEIRA                      	                                                  
2283182	7654001	9113465	 WORTEN COLOMBO                          	                                                  
2283190	7654054	9113465	 WORTEN MONTIJO                          	                                                  
2283208	222905	9113465	 WORTEN TORRES NOVAS                     	                                                  
2283216	7654009	9113465	 WORTEN TORRES VEDRAS                    	                                                  
2283224	7654022	9113465	 WORTEN VASCO DA GAMA                    	                                                  
2283232	7654048	9113465	 WORTEN VIA CATARINA                     	                                                  
2283240	7654012	9113465	 WORTEN VILA FRANCA XIRA                 	                                                  
2283257	7654035	9113465	 WORTEN VILA REAL                        	                                                  
2283265	7654016	9113465	 WORTEN AGUEDA                           	                                                  
2283273	7654041	9113465	 WORTEN ALBUFEIRA                        	                                                  
2283281	7654037	9113465	 WORTEN AMADORA                          	                                                  
2283299	7654010	9113465	 WORTEN AMARANTE                         	                                                  
2283307	7654032	9113465	 WORTEN BARREIRO                         	                                                  
2283315	7654028	9113465	 WORTEN BEJA                             	                                                  
2283323	7654019	9113465	 WORTEN BRAGA                            	                                                  
2283331	7654003	9113465	 WORTEN BRAGANCA                         	                                                  
2283349	7654023	9113465	 WORTEN CASCAIS                          	                                                  
2283356	7654013	9113465	 WORTEN CASTELO BRANCO                   	                                                  
2283364	222922	9113465	 WORTEN CHAVES                           	                                                  
2283372	7654017	9113465	 WORTEN COIMBRASHOPP                     	                                                  
2283380	7654042	9113465	 WORTEN GUIA                             	                                                  
2283398	7654006	9113465	 WORTEN GUARDA                           	                                                  
2283406	7654025	9113465	 WORTEN FANZERES                         	                                                  
2283414	7654024	9113465	 WORTEN FARO II                          	                                                  
2283422	7654004	9113465	 WORTEN GAIASHOPPING                     	                                                  
2283430	2222930	9113465	 WORTEN RIO TINTO                        	                                                  
2283448	7654038	9113465	 WORTEN GUIMARAES                        	                                                  
2283455	7654049	9113465	 WORTEN VISEU                            	                                                  
2283463	7654044	9113465	 WORTEN LAGOS                            	                                                  
2283471	7654040	9113465	 WORTEN LEIRIA                           	                                                  
2283489	7654020	9113465	 WORTEN LOUREL                           	                                                  
2283497	7654007	9113465	 WORTEN MAFRA                            	                                                  
2283505	7654029	9113465	 WORTEN MAIA                             	                                                  
2283513	7654051	9113465	 WORTEN MARCO DE CANAVESES               	                                                  
2283521	7654047	9113465	 WORTEN MOITA                            	                                                  
2283539	7654027	9113465	 WORTEN OLHAO                            	                                                  
2283547	7654052	9113465	 WORTEN OLIVEIRA AZEMEIS                 	                                                  
2283554	222944	9113465	 WORTEN PACOS FERREIRA                   	                                                  
2283562	7654039	9113465	 WORTEN PAREDES                          	                                                  
2283570	7654043	9113465	 WORTEN PINHAL NOVO                      	                                                  
2283588	7654018	9113465	 WORTEN PORTIMAO                         	                                                  
2283596	7654045	9113465	 WORTEN POVOA VARZIM                     	                                                  
2283604	7654036	9113465	 WORTEN QUINTA CONDE                     	                                                  
2283612	7654033	9113465	 WORTEN SANTAREM                         	                                                  
2283620	7654030	9113465	 WORTEN SEIXAL                           	                                                  
2283638	7654053	9113465	 WORTEN SILVES                           	                                                  
2283646	7654008	9113465	 WORTEN TAPADA MERCES                    	                                                  
2283653	7654055	9113465	 WORTEN FELGUEIRAS                       	                                                  
2283661	2222955	9113465	 WORTEN ARRABIDA SHOPPING NA             	                                                  
2283679	7654026	9113465	 WORTEN VALBOM                           	                                                  
2283687	999957	9113465	 WORTEN VALE CAMBRA                      	                                                  
2283695	7654059	9113465	 WORTEN CARTAXO                          	                                                  
2283703	7654060	9113465	 WORTEN ERMESINDE                        	                                                  
2283711	7654015	9113465	 WORTEN VILA CONDE                       	                                                  
2283729	7654063	9113465	 WORTEN VIANA DO CASTELO                 	                                                  
2283737	7654064	9113465	 WORTEN ELVAS                            	                                                  
2283745	7654065	9113465	 WORTEN PORTO ALTO                       	                                                  
2283752	7654066	9113465	 WORTEN SANTO TIRSO                      	                                                  
2283760	7654067	9113465	 WORTEN GULPILHARES                      	                                                  
2283778	7654068	9113465	 WORTEN EIRAS - COIMBRA                  	                                                  
2283786	7654069	9113465	 WORTEN OVAR                             	                                                  
2283794	7654070	9113465	 WORTEN STADIUM COIMBRA                  	                                                  
2283802	7654072	9113465	 WORTEN ANTAS                            	                                                  
2283810	7654073	9113465	 WORTEN PONTE DE SOR                     	                                                  
2283828	7654074	9113465	 WORTEN MARINHA GRANDE                   	                                                  
2283836	7654075	9113465	 WORTEN LOURESHOPPING                    	                                                  
2283844	7654078	9113465	 WORTEN COVILHA                          	                                                  
2283851	7654079	9113465	 WORTEN ESPOSENDE                        	                                                  
2283869	7654080	9113465	 WORTEN ALMEIRIM                         	                                                  
2283877	7654081	9113465	 WORTEN RECHOUSA                         	                                                  
2283885	7654082	9113465	 WORTEN FAFE                             	                                                  
2283893	7654083	9113465	 WORTEN ARROJA                           	                                                  
2283901	7654094	9113465	 WORTEN PORTALEGRE                       	                                                  
2283919	7654095	9113465	 WORTEN ALCOBACA                         	                                                  
2283927	7654099	9113465	 WORTEN ALHOS VEDROS                     	                                                  
2283935	7654096	9113465	 WORTEN LOUSADA                          	                                                  
2283943	222983	9113465	 WORTEN ABRANTES                         	                                                  
2283950	999984	9113465	 WORTEN TROFA                            	                                                  
2283968	222985	9113465	 WORTEN VALONGO                          	                                                  
2283976	999986	9113465	 WORTEN CANTANHEDE                       	                                                  
2283984	999987	9113465	 WORTEN GRANDOLA                         	                                                  
2283992	999988	9113465	 WORTEN REGUENGOS                        	                                                  
2284008	222989	9113465	 WORTEN LAGOA                            	                                                  
2284016	999991	9113465	 WORTEN NAZARE                           	                                                  
2284024	999992	9113465	 WORTEN OVAR                             	                                                  
2284032	0	9113465	 WORTEN MATOSINHOS NA                    	                                                  
2284040	999994	9113465	 WORTEN CALDAS RAINHA                    	                                                  
2284057	999996	9113465	 WORTEN RET PRQ CHAVES                   	                                                  
2284065	999997	9113465	 WORTEN PONTE DE LIMA                    	                                                  
2284073	999998	9113465	 WORTEN MONCAO                           	                                                  
2284081	992000	9113465	 WORTEN TORRES NOVAS R.PRK               	                                                  
2284099	992001	9113465	 WORTEN ALVERCA                          	                                                  
2284107	992002	9113465	 WORTEN FOR.CASTELO BRANCO               	                                                  
2284115	992003	9113465	 WORTEN ESTREMOZ                         	                                                  
2284123	992008	9113465	 WORTEN S FELIX MARINHA                  	                                                  
2284131	992009	9113465	 WORTEN SETUBAL                          	                                                  
2284149	992016	9113465	 WORTEN DV FUNCHAL                       	                                                  
